Sample	Sampleid2	bird.id	sampdate	hatchdate	species	lifestage	plot	box	zone	radiation	wingmm	age	massg	sex	microbiome	clutch_size	brood_size	forest_type	hatch_value	body_condition	categoryHC	diet1	diet2	category	 Diptera	 Lepidoptera	unassigned	Contaminatedt_label1	cont_label2	species_label
X149	149	183	26.5.2021	NA	GT	adult	CHISTO	83	H	11.7	71	NA	17.1	M	Y	9	9	birch	NA	-0.094710947	GTaH	Y	gta	gtaH	0	1	0	Contaminated	Con	P. major
X145	145	184	26.5.2021	NA	GT	adult	CHISTO	83	H	11.7	70	NA	17.5	F	Y	9	9	birch	NA	0.493081181	GTaH	Y	gta	gtaH	1	0	0	Contaminated	Con	P. major
X68	68	186	27.5.2021	16.5.2021	GT	nestling	GLUBO	126	H	10.2	44	11	17.7	M	Y	10	10	birch	9	1.237221823	GTnH	Y	gtn	gtnH	0	0.322332731	0.677667269	Contaminated	Con	P. major
X164	164	191	27.5.2021	15.5.2021	GT	nestling	GLUBO	130	H	13.7	40	12	16.1	M	Y	11	11	birch	8	0.540956827	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X120	120	195	27.5.2021	NA	GT	adult	GLUBO	121	H	8.93	75	NA	17.8	M	Y	13	13	birch	NA	-0.145879459	GTaH	Y	gta	gtaH	0	0	1	Contaminated	Con	P. major
X143	143	197	27.5.2021	NA	GT	adult	GLUBO	128	H	13.2	70	NA	15.2	F	Y	12	12	birch	NA	-1.806918819	GTaH	Y	gta	gtaH	0.611111111	0.388888889	0	Contaminated	Con	P. major
X52	52	198	27.5.2021	16.5.2021	GT	nestling	GLUBO	135	H	18.7	30	11	13.3	F	Y	12	12	birch	9	0.000294335	GTnH	Y	gtn	gtnH	0.064830752	0.19047619	0.744693058	Contaminated	Con	P. major
X19	19	199	27.5.2021	16.5.2021	GT	nestling	GLUBO	135	H	18.7	36	11	14.7	M	Y	12	12	birch	9	0.04469183	GTnH	Y	gtn	gtnH	0.301662708	0.407125891	0.291211401	Contaminated	Con	P. major
X122	122	202	27.5.2021	NA	GT	adult	GLUBO	135	H	18.7	76	NA	19.3	M	Y	12	12	birch	NA	1.166328413	GTaH	Y	gta	gtaH	0.2	0.267605634	0.532394366	Contaminated	Con	P. major
X72	72	205	27.5.2021	17.5.2021	GT	nestling	GLUBO	138	H	9.3	31	10	14.8	F	Y	11	11	birch	10	1.274360584	GTnH	Y	gtn	gtnH	0	1	0	Contaminated	Con	P. major
X69	69	206	27.5.2021	17.5.2021	GT	nestling	GLUBO	138	H	9.3	32	10	15.3	M	Y	11	11	birch	10	1.548426833	GTnH	Y	gtn	gtnH	0	0.778625954	0.221374046	Contaminated	Con	P. major
X79	79	209	27.5.2021	13.5.2021	GT	nestling	KOS	149	C	0.3	43	14	17.9	M	Y	11	11	birch	6	1.663155574	GTnC	Y	gtn	gtnC	0.236975339	0.47493059	0.288094072	Uncontaminated	Unc	P. major
X66	66	211	27.5.2021	13.5.2021	GT	nestling	KOS	149	C	0.3	46	14	17.4	F	Y	11	11	birch	6	0.485354321	GTnC	Y	gtn	gtnC	0	0.828042328	0.171957672	Uncontaminated	Unc	P. major
X11	11	213	27.5.2021	14.5.2021	GT	nestling	KOS	150	C	NA	46	13	18.3	M	Y	12	12	birch	7	1.385354321	GTnC	Y	gtn	gtnC	0	0.957920792	0.042079208	Uncontaminated	Unc	P. major
X86	86	214	27.5.2021	14.5.2021	GT	nestling	KOS	150	C	NA	40	13	16	M	Y	12	12	birch	7	0.440956827	GTnC	Y	gtn	gtnC	0.00512492	0.596412556	0.398462524	Uncontaminated	Unc	P. major
X137	137	217	27.5.2021	NA	GT	adult	KOS	149	C	0.3	73	NA	18	F	Y	11	11	birch	NA	0.429704797	GTaC	Y	gta	gtaC	0.654320988	0	0.345679012	Uncontaminated	Unc	P. major
X47	47	219	27.5.2021	17.5.2021	GT	nestling	KOS	145	C	0.32	31	10	14.8	M	Y	10	10	birch	10	1.274360584	GTnC	Y	gtn	gtnC	0	0.194078947	0.805921053	Uncontaminated	Unc	P. major
X22	22	221	27.5.2021	17.5.2021	GT	nestling	KOS	145	C	0.32	36	10	14.9	M	Y	10	10	birch	10	0.24469183	GTnC	Y	gtn	gtnC	0.215219665	0.275889121	0.508891213	Uncontaminated	Unc	P. major
X10	10	305	28.5.2021	18.5.2021	GT	nestling	STECH	22	C	0.1	32	10	16.4	M	Y	7	7	birch	11	2.648426833	GTnC	Y	gtn	gtnC	0	0.646761599	0.353238401	Uncontaminated	Unc	P. major
X2	2	312	28.5.2021	17.5.2021	GT	nestling	STECH	30	C	0.1	37	11	14.9	M	Y	11	9	birch	10	0.018758079	GTnC	Y	gtn	gtnC	1	0	0	Uncontaminated	Unc	P. major
X23	23	316	28.5.2021	17.5.2021	GT	nestling	STECH	29	C	0.1	39	11	15.9	F	Y	11	10	birch	10	0.566890577	GTnC	Y	gtn	gtnC	0.005121043	0.322160149	0.672718808	Uncontaminated	Unc	P. major
X95	95	318	28.5.2021	17.5.2021	GT	nestling	STECH	29	C	0.1	37	11	15.6	F	Y	11	10	birch	10	0.718758079	GTnC	Y	gtn	gtnC	0	0	1	Uncontaminated	Unc	P. major
X126	126	319	28.5.2021	NA	GT	adult	STECH	25	C	0.1	74	NA	19.3	F	Y	6	5	birch	NA	1.541912669	GTaC	Y	gta	gtaC	0	0.633960898	0.366039102	Uncontaminated	Unc	P. major
X51	51	321	28.5.2021	19.5.2021	GT	nestling	RAZ	51	C	0.07	27	9	15.7	M	Y	9	9	mixed	12	3.078095588	GTnC	Y	gtn	gtnC	0	0.598258706	0.401741294	Uncontaminated	Unc	P. major
X38	38	322	28.5.2021	19.5.2021	GT	nestling	RAZ	51	C	0.07	28	9	14.6	F	Y	9	9	mixed	12	1.752161837	GTnC	Y	gtn	gtnC	0	0.539459459	0.460540541	Uncontaminated	Unc	P. major
X129	129	324	28.5.2021	NA	GT	adult	YAM	107	C	0.158	72	NA	16.9	F	Y	9	9	birch	NA	-0.482503075	GTaC	Y	gta	gtaC	0	0.08310992	0.91689008	Uncontaminated	Unc	P. major
X53	53	326	29.5.2021	18.5.2021	GT	nestling	YAM	113	C	0.3	34	11	15.5	M	Y	11	11	birch	11	1.296559332	GTnC	Y	gtn	gtnC	0	0.193494579	0.806505421	Uncontaminated	Unc	P. major
X63	63	328	29.5.2021	18.5.2021	GT	nestling	YAM	113	C	0.3	31	11	13.8	F	Y	11	11	birch	11	0.274360584	GTnC	Y	gtn	gtnC	0	1	0	Uncontaminated	Unc	P. major
X140	140	329	29.5.2021	NA	GT	adult	YAM	113	C	0.3	73	NA	17.6	F	Y	11	11	birch	NA	0.029704797	GTaC	Y	gta	gtaC	1	0	0	Uncontaminated	Unc	P. major
X156	156	331	29.5.2021	NA	GT	adult	YAM	116	C	0.3	71	NA	17.7	F	Y	8	8	birch	NA	0.505289053	GTaC	Y	gta	gtaC	0	0	1	Uncontaminated	Unc	P. major
X59	59	333	29.5.2021	20.5.2021	GT	nestling	YAM	108	C	0.158	28	9	13.5	M	Y	11	11	birch	13	0.652161837	GTnC	Y	gtn	gtnC	0.007865169	0.198127341	0.794007491	Uncontaminated	Unc	P. major
X73	73	336	29.5.2021	20.5.2021	GT	nestling	YAM	108	C	0.158	24	9	12.4	M	Y	11	11	birch	13	0.45589684	GTnC	Y	gtn	gtnC	0	1	0	Uncontaminated	Unc	P. major
X8	8	337	29.5.2021	18.5.2021	GT	nestling	YAM	107	C	0.158	33	11	11.3	F	Y	9	9	birch	11	-2.677506917	GTnC	Y	gtn	gtnC	0	0.724390244	0.275609756	Uncontaminated	Unc	P. major
X104	104	338	29.5.2021	18.5.2021	GT	nestling	YAM	107	C	0.158	37	11	14.9	M	Y	9	9	birch	11	0.018758079	GTnC	Y	gtn	gtnC	1	0	0	Uncontaminated	Unc	P. major
X27	27	343	30.5.2021	18.5.2021	GT	nestling	RED3	4	H	33	42	12	14.9	F	Y	11	11	birch	11	-1.110910675	GTnH	Y	gtn	gtnH	0	0.335443038	0.664556962	Contaminated	Con	P. major
X65	65	349	30.5.2021	20.5.2021	GT	nestling	CHISTO	89	H	10	30	10	13.7	M	Y	7	6	birch	13	0.400294335	GTnH	Y	gtn	gtnH	0	0.936366027	0.063633973	Contaminated	Con	P. major
X146	146	350	30.5.2021	NA	GT	adult	CHISTO	90	H	NA	70	NA	18.5	F	Y	10	NA	birch	NA	1.493081181	GTaH	Y	gta	gtaH	0	1	0	Contaminated	Con	P. major
X80	80	351	30.5.2021	20.5.2021	GT	nestling	CHISTO	89	H	10	31	10	13.3	F	Y	7	6	birch	13	-0.225639416	GTnH	Y	gtn	gtnH	0	0.90862423	0.09137577	Contaminated	Con	P. major
X33	33	354	30.5.2021	22.5.2021	GT	nestling	RED1	61	H	4.2	28	8	14	M	Y	8	8	birch	14	1.152161837	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X46	46	356	30.5.2021	22.5.2021	GT	nestling	RED1	61	H	4.2	25	8	13.9	F	Y	8	8	birch	14	1.729963089	GTnH	Y	gtn	gtnH	0	0.20819398	0.79180602	Contaminated	Con	P. major
X118	118	358	30.5.2021	NA	GT	adult	RED1	61	H	4.2	81	NA	20.6	M	Y	8	8	birch	NA	1.527367774	GTaH	Y	gta	gtaH	0	1	0	Contaminated	Con	P. major
X91	91	360	31.5.2021	23.5.2021	GT	nestling	GLUBO	121	H	8.93	22	8	10.9	F	Y	13	13	birch	15	-0.592235658	GTnH	Y	gtn	gtnH	0	0.99003736	0.00996264	Contaminated	Con	P. major
X67	67	361	31.5.2021	23.5.2021	GT	nestling	GLUBO	121	H	8.93	25	8	12.2	F	Y	13	13	birch	15	0.029963089	GTnH	Y	gtn	gtnH	0	0.649408284	0.350591716	Contaminated	Con	P. major
X14	14	363	31.5.2021	23.5.2021	GT	nestling	GLUBO	124	H	8.1	27	8	12.1	F	Y	11	11	birch	15	-0.521904412	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X62	62	365	31.5.2021	23.5.2021	GT	nestling	GLUBO	124	H	8.1	25	8	11.7	F	Y	11	11	birch	15	-0.470036911	GTnH	Y	gtn	gtnH	0	0.977272727	0.022727273	Contaminated	Con	P. major
X123	123	367	31.5.2021	NA	GT	adult	GLUBO	126	H	10.2	72	NA	17.2	M	Y	10	10	birch	NA	-0.182503075	GTaH	Y	gta	gtaH	0.101851852	0.898148148	0	Contaminated	Con	P. major
X76	76	369	27.5.2021	17.5.2021	GT	nestling	GLUBO	128	H	13.2	32	10	13.1	F	Y	12	12	birch	10	-0.651573167	GTnH	Y	gtn	gtnH	0	0.798004988	0.201995012	Contaminated	Con	P. major
X71	71	371	27.5.2021	17.5.2021	GT	nestling	GLUBO	128	H	13.2	30	10	12.3	M	Y	12	12	birch	10	-0.999705665	GTnH	Y	gtn	gtnH	0.530669145	0.404275093	0.065055762	Contaminated	Con	P. major
X37	37	373	1.6.2021	22.5.2021	GT	nestling	KOS	153	C	0.181	32	10	16.5	M	Y	9	9	birch	14	2.748426833	GTnC	Y	gtn	gtnC	0.979650238	0.002755697	0.017594065	Uncontaminated	Unc	P. major
X7	7	374	1.6.2021	22.5.2021	GT	nestling	KOS	153	C	0.181	34	10	16.8	M	Y	9	9	birch	14	2.596559332	GTnC	Y	gtn	gtnC	0	0.206861756	0.793138244	Uncontaminated	Unc	P. major
X124	124	377	31.5.2021	NA	GT	adult	GLUBO	138	H	9.3	75	NA	17.9	F	Y	11	11	birch	NA	-0.045879459	GTaH	Y	gta	gtaH	0	0.073529412	0.926470588	Contaminated	Con	P. major
X109	109	378	2.6.2021	29.5.2021	GT	nestling	GLUBO	137	H	9.1	12	4	7.7	F	Y	13	7	birch	18	-1.53289815	GTnH	Y	gtn	gtnH	0	0	1	Contaminated	Con	P. major
X102	102	379	2.6.2021	29.5.2021	GT	nestling	GLUBO	137	H	9.1	9	4	6.8	NA	Y	13	7	birch	18	-1.755096897	GTnH	Y	gtn	gtnH	0	1	0	Contaminated	Con	P. major
X136	136	381	2.6.2021	NA	GT	adult	GLUBO	137	H	9.1	72	NA	16.5	F	Y	13	7	birch	NA	-0.882503075	GTaH	Y	gta	gtaH	1	0	0	Contaminated	Con	P. major
X110	110	A11	23.5.2021	19.5.2021	GT	nestling	C1	11	C	0.178	10	4	7.3	NA	Y	10	9	birch	12	-1.481030648	GTnC	Y	gtn	gtnC	0.266666667	0.733333333	0	Uncontaminated	Unc	P. major
X167	167	328R	replicate	NA	rep	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	rep	NA	0	0	1	NA	NA	rep
X171	171	61R	replicate	NA	rep	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	rep	NA	0	0	1	NA	NA	rep
X172	172	80R	replicate	NA	rep	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	rep	NA	0	0	1	NA	NA	rep
X222	222	cK1	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	0	0	1	NA	NA	cont
X224	224	cK3	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	0	0	1	NA	NA	cont
X226	226	cK5	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	1	0	0	NA	NA	cont
X227	227	cK6	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	1	0	0	NA	NA	cont
X228	228	cNP3	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	0	0.534883721	0.465116279	NA	NA	cont
X229	229	cNP6	control	neg_cont	cont	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA	Y	cont	NA	0.41025641	0	0.58974359	NA	NA	cont
